institution,doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
michigan,michigan.apis.683,42327,42327,o.mich;1;547,michigan.apis.683,Text of Uncertain Nature,"Either receipt for transport of grain to an unknown harbor (Amundsen), or list of names (Youtie, see Corrections)",(Late) IIIrd century/(early) IVth century A.D.,262.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,(Text too uncertain to be translated),True
michigan,michigan.apis.684,42421,42421,o.mich;1;635,michigan.apis.684,List of Names,"List of names, perhaps of liturgical workers",IVth century A.D.,349.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,1st lot:;Apol(--);Valerius;Tapaeis;Abous,True
michigan,michigan.apis.685,41881,41881,o.mich;1;114,michigan.apis.685,Money Account,Money account,IVth century A.D.,349.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,(Col. I);Palemon: 1200 talents;Ateisis: 1100 talents;Sokrates: 4500 talents;Anoutios: 2200 talents;;(Col. II);Sota: 1000 talents;Maxi(--): 1200 talents;Andreas: 2800 talents,True
michigan,michigan.apis.686,42021,42021,o.mich;1;257,michigan.apis.686,Receipt for Delivery,Receipt for delivery of wood collected to bake bread,"November 7, 301 A.D.",,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"Aurelius Neilion, collector of the wood for the bake-house of the station(?) of the Isieion(?), to the Aurelii Aphrodisios(?), Heron, and Sarapion. You have brought three loads of wood, equal 3. Year 18-17-10, Hathyr 11.",True
michigan,michigan.apis.687,42242,42242,o.mich;1;468,michigan.apis.687,Receipt for Transport of Grain,Receipt for transport of grain to an unknown harbor in the name of Horion,"February 3, 268 A.D.",,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"Of the village of Karanis, of the crop of year 14, through beasts of the village of Psenyris, 4 donkeys, in the name of Horion, son of Alexandros, grandson of Mineus, for the present, [[of the village of Psenyris]]. Year 15, Mecheir 8.",True
michigan,michigan.apis.688,41958,41958,o.mich;1;198,michigan.apis.688,Receipt for Delivery in Kind,Receipt for chaff of Karanis brought by Aurelius Oktas(?) to an unknown harbor,(Early) IVth century A.D.,349.0,"unknown harbor, Herakleopolite or Memphite nome, province of Egypt",grc,Documentary; Ostracon,,"Mesore 1. Aurelius Oktas(?) has brought for Kainos, Karanis, for the third indiction, two-hundred and forty litrai of chaff, equal 240 only. Through Sarapion.",True
michigan,michigan.apis.689,42328,42328,o.mich;1;548,michigan.apis.689,Receipt(?) for Transport of Grain,Receipt(?) (or memorandum) for delivery of grain brought by the veteran Serenus to an unknown harbor,(Late) IIIrd century/(early) IVth century A.D.,262.0,"probably Bacchias, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"Of Bacchias: Serenus the veteran, 2 sacks.",True
michigan,michigan.apis.69,13110,13110,p.sakaon;;91,michigan.apis.69,Receipt for Delivery in Kind,Receipt for delivery of chaff,IVth century A.D.,349.0,"Theadelphia, Themistou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"He has delivered from Theadelphia, for the ninth indiction, two hundred and forty pounds of chaff, equal 240 lbs., only. Payni 22nd.;(2nd hand) I, Offellius, have signed.",True
michigan,michigan.apis.690,42140,42140,o.mich;1;378,michigan.apis.690,Receipt for Transport of Grain,Receipt for transport of grain to an unknown harbor by Neilos in the name of Ptolemaios,"April 23, 278 A.D.",,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"Of the crop of year 2, of Karanis, Ptolemaios, son of Iulianus, through Neilos, (has shifted) 4 sacks. Year 3, Pharmouthi 28.",True
michigan,michigan.apis.691,42317,42317,o.mich;1;537,michigan.apis.691,Receipt for Transport of Grain,Receipt for transport of grain to an unknown harbor (?),(Late) IIIrd century/(early) IVth century A.D.,262.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,(Text too fragmentary to be translated),True
