doc_id,institution,date_year,date_text,genre,name,father,role,context
michigan.apis.1169,michigan,249.0,IIIrd century A.D. (October 20-24 or 21-,Documentary; Ostracon,Sokrates,Seuthes,,"On Phaophi 23, Sokrates son of Seuthes (has given his part). On the 24th similarly. On the 25th similarly. (2nd hand) On the 26th similarly. On the 27th simil"
michigan.apis.1176,michigan,,"May/June, 270 A.D.",Documentary; Ostracon,Antoninus,Isidoros,," through the cultivator(?) Ptolem( ), of the village of Karanis, in the name of Antoninus son of Isidoros, 2 artabai."
michigan.apis.1178,michigan,249.0,IIIrd century A.D.,Documentary; Ostracon,Kratios,Tiberius,,Kratios son of Tiberius (has given) 1 naubion (2nd hand) near Karanis.
michigan.apis.1179,michigan,249.0,"IIIrd century A.D. (February 24, 207 or ",Documentary; Ostracon,Soterichos,Parakannes,,"Has paid Soterichos son of Parakannes for the apotakta, through the olders of the 14th year of the village of Dionysias, in the 15th year, Mecheir 30, sixtee"
michigan.apis.1205,michigan,,"September 23,  302 A.D.",Documentary; Papyrus,Patermouthis,Dioskoros,,"ite nome, toparchy fourth and fifth, of the Herakleides division, from Aurelios Patermouthis son of Dioskoros and Atia, from the village of Karanis of the same nome.;I declare in your presence, in acc"
michigan.apis.1210,michigan,25.0,(early) Ist century A.D.,Literary; mythological genealogy; Papyrus,Trophonios,Apollon,,"son of Zeus and Europe. Mousaios, son of Antiophemos. Eumolpos, son of Musaios. Trophonios son of Apollon of ieromnemoni. (MA)"
michigan.apis.1217,michigan,,"14-23 July, 152 A.D.",Documentary; Papyrus,Heron,Lykas,,"e of Dionysias, aged 40, scar on her forehead, with (her) legal representative, Heron son of Lykas, aged 35, scar on the left shin. (We certify that) Tasis has in full from Anoubas the rents of the pr"
michigan.apis.1227,michigan,,288 A.D,Documentary; Papyrus,Cornelius,Hatres,,"""Aurelius Cornelius son of Hatres, his mother being Thaesis, from the village Peneutos of Diospolis, to Aurelius Apollonius, son of Sarapion from the ren"
michigan.apis.1229,michigan,,"2 May, 299 A.D.",Documentary; Papyrus,Theodoros,Romaios,,"Tapausiris from the village of Muchintale in the lower toparchy, and her nephew Theodoros son of Romaios and grandson of ...both acting through me, Pausiris son of Sarapion, his mother being Soeris fr"
michigan.apis.1229,michigan,,"2 May, 299 A.D.",Documentary; Papyrus,Pausiris,Sarapion,," her nephew Theodoros son of Romaios and grandson of ...both acting through me, Pausiris son of Sarapion, his mother being Soeris from the same village, to Aurelios Hierakion, also called Dionysios, s"
michigan.apis.1229,michigan,,"2 May, 299 A.D.",Documentary; Papyrus,Theodoros,Pomaios,,"tantius and Maximian the most renowned Caesars, Pachon 7th. (2nd hand) Aurelius Theodoros son of Pomaios and Aurelia Taapammon, through me her husband Pausiris, have received the rents of the mast and"
michigan.apis.1241,michigan,,147 A.D.,Documentary; Papyrus,Thenosiris,Psenosiris,,"house belonging to me.;I am Serempis, aged 50, scar on the left cheek. My wife, Thenosiris daughter of Psenosiris, aged 54. Patermouthis, my son, aged 2., and his wife Thenamounis, daughter of Psenamo"
michigan.apis.1241,michigan,,147 A.D.,Documentary; Papyrus,Pnephoros,Pnephoros,,"rents; to Nouris and Patermouthis likewise, from their parents; and likewise to Pnephoros son of Pnephoros and his sisters. (Belonging to) these same in the same village another group.;And on request "
michigan.apis.1245,michigan,132.0,"117-118, 131-132, 146-147 A.D.",Documentary; Papyrus,Ploution,Komon,,"her memorandum in the qurater Moeris with her legal representative, her husband Ploution son of Komon, catoecus of the 6475. I ownin the same quarter Moeris a fourth part of a fourth share of a house "
michigan.apis.1245,michigan,132.0,"117-118, 131-132, 146-147 A.D.",Documentary; Papyrus,Sokrates,Dioskoros,," second house, Zois, daughter of Herakleides, son of Sokrates, aged 53: her son Sokrates son of Dioskoros who has passed his examination, aged 32, without distinguishing mark; a daughter Aphrodous, ag"
michigan.apis.1245,michigan,132.0,"117-118, 131-132, 146-147 A.D.",Documentary; Papyrus,Ploution,Komon,," Dios laographos, and Antoninos also called Hermaios , appointed official, from Ploution son of Komon son of Heron, his mother being Ptollarous, also called Ptolema, daughter of Apollonios, catoecus o"
michigan.apis.1245,michigan,132.0,"117-118, 131-132, 146-147 A.D.",Documentary; Papyrus,Sokrates,Dioskoros,,"ensus of the past 16th year of Hadrianus Caesar our lord, in the quarter of ...;Sokrates son of Dioskoros, of the selected class, aged 46, without distinguishing mark, and his ... wife who is register"
michigan.apis.1245,michigan,132.0,"117-118, 131-132, 146-147 A.D.",Documentary; Papyrus,Isidora,Heron,,"rakleides meris, and Sabinos and Antoninos, secretaries of the metropolis:;From Isidora daughter of Heron third, son of Heron, her mother being Isidora daughter of Asklepiades, declared and registered"
michigan.apis.1245,michigan,132.0,"117-118, 131-132, 146-147 A.D.",Documentary; Papyrus,Isidora,Asklepiades,,"etropolis:;From Isidora daughter of Heron third, son of Heron, her mother being Isidora daughter of Asklepiades, declared and registered through another memorandum in the quarter of Apollonios Hierake"
michigan.apis.1250,michigan,225.0,(early) IIIrd century A. D.,Documentary; Papyrus,Pyrcon,Geminus,,"e most illustrious city of the Alexandrians through Amasis son of Po. . ., from Pyrcon son of Geminus and Dius son of Sarapammon, grandson of Cam . . .;We wish to rent from you from the land which you"
michigan.apis.1250,michigan,225.0,(early) IIIrd century A. D.,Documentary; Papyrus,Dius,Sarapammon,," the Alexandrians through Amasis son of Po. . ., from Pyrcon son of Geminus and Dius son of Sarapammon, grandson of Cam . . .;We wish to rent from you from the land which you own around the village of"
michigan.apis.1251,michigan,,248 B.C.,Documentary; Papyrus,Echtine,Menneas,,"being Epainetos, son of Epainetos, the kanephoros of Arsinoe Philadelphos being Echtine daughter of Menneas, on the . . . which is in the Egyptian calendar Pharmouthi the nineteenth [or twenty-ninth],"
michigan.apis.1251,michigan,,248 B.C.,Documentary; Papyrus,Demokles,Lyson,," which is in the Egyptian calendar Pharmouthi the nineteenth [or twenty-ninth], Demokles son of Lyson, . . . a Heraklean, a hundred-aroura holder of those in the Arsinoite nome, from the village of . "
michigan.apis.1254,michigan,319.0,318-320 A.D.,Documentary; Papyrus,Ousenouphis,Heras,,"Valerius Ziper, vir perfectissinus, praeses Aegypti Herculiae, from the Aurelii Ousenouphis son of Heras, Heras son of Atisios, and Heron son of Apion, all three from the village of Karanis of the Ars"
michigan.apis.1254,michigan,319.0,318-320 A.D.,Documentary; Papyrus,Heras,Atisios,,"tissinus, praeses Aegypti Herculiae, from the Aurelii Ousenouphis son of Heras, Heras son of Atisios, and Heron son of Apion, all three from the village of Karanis of the Arsinoite nome. In appearance"
michigan.apis.1254,michigan,319.0,318-320 A.D.,Documentary; Papyrus,Heron,Apion,,"Herculiae, from the Aurelii Ousenouphis son of Heras, Heras son of Atisios, and Heron son of Apion, all three from the village of Karanis of the Arsinoite nome. In appearance, lord prefect, we tender "
michigan.apis.1256,michigan,,17 A.D.,Documentary; Papyrus,Heraclius,Heracles,,", Mecheir 10th, in Oxyrhyncha of the division of Polemon of the Arsinoite nome, Heraclius son of Heracles, aged thirty-five, wart on the middle of his nose, loaned to Dionysius, son of Maron, Persian "
michigan.apis.1256,michigan,,17 A.D.,Documentary; Papyrus,Heraclius,Heracles,,"ioned above, being sureties one for the other for repayment, have the loan from Heraclius son of Heracles, administrator of the affairs of Heraclius, son of Heracles, son of Herodes, to wit, the capit"
