accession_no,accounting_period,acquisition_history,alternative_years,ark_number,atf_source,atf_up,author,author_remarks,cdli_collation,cdli_comments,citation,collection,composite_id,condition_description,date_entered,date_of_origin,date_remarks,date_updated,dates_referenced,db_source,designation,dumb,dumb2,electronic_publication,elevation,excavation_no,external_id,findspot_remarks,findspot_square,genre,google_earth_collection,google_earth_provenience,height,id,id_text2,id_text,join_information,language,lineart_up,material,museum_no,object_preservation,object_type,period,period_remarks,photo_up,primary_publication,provenience,provenience_remarks,publication_date,publication_history,published_collation,seal_id,seal_information,stratigraphic_level,subgenre,subgenre_remarks,surface_preservation,text_remarks,thickness,translation_source,width,object_remarks
,,,,21198/zz001smx4d,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 005",,,,,,,,,Letter,,,?,100353,0,250573,,Akkadian,,clay,MS 1892/25,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 005",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001smx5x,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 021",,,,,,,,,Legal,,,?,100354,0,250574,,Akkadian,,clay,MS 1892/26,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 021",uncertain (mod. uncertain),,2017,,,,,,debt note silver,,,,?,no translation,?,
,,,,21198/zz001smx6f,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 003",,,,,,,,,Letter,,,?,100355,0,250575,,Akkadian,,clay,MS 1892/27,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 003",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001smx7z,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 006",,,,,,,,,Letter,,,?,100356,0,250576,,Akkadian,,clay,MS 1892/28,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 006",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001smx8g,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 036",,,,,,,,,Legal,,,?,100357,0,250577,,Akkadian,,clay,MS 1892/29,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 036",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001smx90,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 037",,,,,,,,,Administrative,,,?,100358,0,250578,,Akkadian,,clay,MS 1892/30,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 037",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001smxbh,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 009",,,,,,,,,Letter,,,?,100359,0,250579,,Akkadian,,clay,MS 1892/31,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 009",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001smxc1,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 019",,,,,,,,,Letter,,,?,100360,0,250580,,Akkadian,,clay,MS 1892/32,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 019",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001smxdj,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 022",,,,,,,,,Legal,,,?,100361,0,250581,,Akkadian,,clay,MS 1892/33,,tablet & envelope,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 022",uncertain (mod. uncertain),,2017,,,Sx,,,debt payment,,,,?,no translation,?,
,,,,21198/zz001scgj6,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 038",,,,,,,,,Administrative,,,?,103723,0,253965,,Akkadian,,clay,MS 4934,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"CUSAS 34, 038",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001sr6cp,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 017",,,,,,,,,Letter,,,?,103785,0,254027,,Akkadian,,clay,MS 4996,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"CUSAS 34, 017",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,Kappadokia,,21198/zz001tj2vq,no atf,,"Stephens, Ferris J.",,,,,"University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA",,ruled,4/25/2005,,,2018-10-21,,20050425 fitzgerald_upenn,KTP 35,,,,,,,,,Administrative ?,,,?,109617,0,260349,,,,clay,CBS 04033,fragment,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,KTP 35,Kanesh (mod. Kültepe),,1927,"JSOR 11, 35; Ulshöfer, FAOS Beih 4, 348",,,,,,8x1x7 lines; collected by A. Long of Robert College and sold by him to J. P. Peters in 1888,,,?,no translation,?,
,,Kappadokia,,21198/zz001tj308,no atf,,"Stephens, Ferris J.",,,,,"University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA",,ruled,4/25/2005,,,2018-10-21,,20050425 fitzgerald_upenn,KTP 38,,,,,,,,,Administrative ?,,,?,109621,0,260353,,,,clay,CBS 04037,fragment,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,KTP 38,Kanesh (mod. Kültepe),,1927,"JSOR 11, 38; Ulshöfer, FAOS Beih 4, 349",,,,,,7x3(rev) lines; collected by A. Long of Robert College and sold by him to J.P. Peters in 1888,,,?,no translation,?,
,,Kappadokia,,21198/zz001tj31s,no atf,,"Stephens, Ferris J.",,,,,"University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA",,"lo. half, ruled",4/25/2005,,,2018-10-21,,20050425 fitzgerald_upenn,KTP 37,,,,,,,,,Administrative ?,,,?,109622,0,260354,,,,clay,CBS 04038,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,KTP 37,Kanesh (mod. Kültepe),,1927,"JSOR 11, 37; Ulshöfer, FAOS Beih 4, 125",,,,,,9x2x10x2(le.e.); collected by A. Long of Robert College and sold by him to J.P. Peters in 1888,,,?,no translation,?,
,,Kappadokia,,21198/zz001tj329,Old Assyrian Text Project,,"Stephens, Ferris J.",,,"20091124 oatp: 9: Hecker, Fs Nimet Ozguc, 285, punt 7: Uebungstext einfacherer Art oder Faelschung?",,"University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA",,"rev broken away, ruled",4/25/2005,,,2022-06-29,,20050425 fitzgerald_upenn,KTP 39,,,,,,,,,,,,?,109623,0,260355,,,,clay,CBS 04039,fragment,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,KTP 39,Kanesh (mod. Kültepe),,1927,"JSOR 11, 39",,,,,,9x2(lo.e.) lines; collected by A. Long of Robert College and sold by him to J.P. Peters in 1888,,,?,no translation,?,
